time (UTC),G (W/m^2),Tamb (C),generation_kw
01/01/2015 0:00,0,7.784,0
01/01/2015 1:00,0,7.983,0
01/01/2015 2:00,0,8.088,0
01/01/2015 3:00,0,8.189,0
01/01/2015 4:00,0,8.216,0
01/01/2015 5:00,0,8.008,0
01/01/2015 6:00,0,7.33,0
01/01/2015 7:00,0,6.4,0
01/01/2015 8:00,8.44,5.725,0.008
01/01/2015 9:00,71.637,6.236,0.133
01/01/2015 10:00,139.705,6.553,0.268
01/01/2015 11:00,203.426,6.991,0.43
01/01/2015 12:00,207.861,7.383,0.438
01/01/2015 13:00,170.622,7.298,0.369
01/01/2015 14:00,99.06,6.444,0.22
01/01/2015 15:00,18.862,3.996,0.041
01/01/2015 16:00,0,2.522,0
01/01/2015 17:00,0,1.879,0
01/01/2015 18:00,0,1.273,0
01/01/2015 19:00,0,0.804,0
01/01/2015 20:00,0,0.183,0
01/01/2015 21:00,0,-0.397,0
01/01/2015 22:00,0,-0.9,0
01/01/2015 23:00,0,-1.27,0
02/01/2015 0:00,0,-1.402,0
02/01/2015 1:00,0,-1.276,0
02/01/2015 2:00,0,-1.125,0
02/01/2015 3:00,0,-0.977,0
02/01/2015 4:00,0,-0.938,0
02/01/2015 5:00,0,-0.83,0
02/01/2015 6:00,0,-0.786,0
02/01/2015 7:00,0,-0.768,0
02/01/2015 8:00,8.291,-0.593,0.006
02/01/2015 9:00,66.222,1.055,0.098
02/01/2015 10:00,125.304,2.424,0.191
02/01/2015 11:00,158.908,3.304,0.239
02/01/2015 12:00,157.422,4.272,0.225
02/01/2015 13:00,118.499,4.44,0.149
02/01/2015 14:00,65.3,3.755,0.07
02/01/2015 15:00,12.276,2.491,0.008
02/01/2015 16:00,0,1.751,0
02/01/2015 17:00,0,1.427,0
02/01/2015 18:00,0,1.305,0
02/01/2015 19:00,0,1.39,0
02/01/2015 20:00,0,1.3,0
02/01/2015 21:00,0,1.026,0
02/01/2015 22:00,0,0.587,0
02/01/2015 23:00,0,0.201,0
03/01/2015 0:00,0,-0.24,0
03/01/2015 1:00,0,-0.725,0
03/01/2015 2:00,0,-0.922,0
03/01/2015 3:00,0,-1.044,0
03/01/2015 4:00,0,-1.231,0
03/01/2015 5:00,0,-1.307,0
03/01/2015 6:00,0,-1.278,0
03/01/2015 7:00,0,-1.068,0
03/01/2015 8:00,10.085,-0.794,0.015
03/01/2015 9:00,83.399,-0.135,0.199
03/01/2015 10:00,159.363,0.844,0.36
03/01/2015 11:00,203.754,1.763,0.439
03/01/2015 12:00,206.995,2.675,0.438
03/01/2015 13:00,170.704,2.594,0.369
03/01/2015 14:00,100.429,1.752,0.223
03/01/2015 15:00,20.706,0.661,0.05
03/01/2015 16:00,0,-0.241,0
03/01/2015 17:00,0,-0.569,0
03/01/2015 18:00,0,-0.956,0
03/01/2015 19:00,0,-1.44,0
03/01/2015 20:00,0,-2.078,0
03/01/2015 21:00,0,-2.424,0
03/01/2015 22:00,0,-2.645,0
03/01/2015 23:00,0,-3.104,0
